,tweet,tweet_preprocessing,sentimen
350,"hai kak, maaf membuat kamu tidak nyaman ya kak. terkait dengan pemberitahuan dari aplikasi bukalapak, kamu\",hai kak maaf nyaman ya kak terkait pemberitahuan aplikasi bukalapak ,negatif
351,"baik kak mohon maaf sebelumnya, namun apakah kakak sebelumnya memang tidak ada transaksi yang ada hubung\",kak mohon maaf kakak transaksi hubung ,negatif
352,terakhir transaksi okt .. dan sudah clear. tapi no resinya tidak sama dengan resi dari sms tsb.,transaksi okt clear no resinya resi sms tsb ,negatif
353,terakhir transaksi okt .. dan sudah clear. tapi no resinya tidak sama dengan resi dari sms tsb.,transaksi okt clear no resinya resi sms tsb ,negatif
354,maba computing yang ku ajar kmrn rupanya ada yg udh lulus d and sekarang kerja di bukalapak. kmrn dia join kelas a\,maba computing ku ajar kmrn yg udh lulus d and kerja bukalapak kmrn join kelas a ,positif
355,"rt akan dipilih pemenang beruntung secara acak, yang akan kita kasih saldo reksadana/emas, masing-masing rp ribu!",rt dipilih pemenang beruntung acak kasih saldo reksadana emas rp ribu ,positif
356,"rt akan dipilih pemenang beruntung secara acak, yang akan kita kasih saldo reksadana/emas, masing-masing rp ribu!",rt dipilih pemenang beruntung acak kasih saldo reksadana emas rp ribu ,positif
357,"investasi reksadana karena mudah dan risiko kerugiannya kecil, saya suka investasi reksadana karena awal\",investasi reksadana mudah risiko kerugiannya suka investasi reksadana ,positif
358,"developer di bukalapak bang, remote work skrng jadinya",developer bukalapak bang remote work skrng,positif
359,"alhamadulillah nya saia dapat koneksi untuk intern nanti kalau mau d bukalapak, yayyyyy",alhamadulillah nya saia koneksi intern d bukalapak yayyyyy,positif
360,"hai kak, maaf ya buat kendala. kuyy bella bantu kak, infoin nomor telepon dan email akun bukalapak kam\",hai kak maaf ya kendala kuyy bella bantu kak infoin nomor telepon email akun bukalapak kam ,negatif
361,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
362,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
363,"rt akan dipilih pemenang beruntung secara acak, yang akan kita kasih saldo reksadana/emas, masing-masing rp ribu!",rt dipilih pemenang beruntung acak kasih saldo reksadana emas rp ribu ,positif
364,"rt akan dipilih pemenang beruntung secara acak, yang akan kita kasih saldo reksadana/emas, masing-masing rp ribu!",rt dipilih pemenang beruntung acak kasih saldo reksadana emas rp ribu ,positif
365,cek disini perlengkapan yang kamu butuhkan ada semua dan harganya terbaik untuk kamu.,cek perlengkapan butuhkan harganya terbaik ,positif
366,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,positif
367,"semenjak pandemi, market menjadi tak karuan alias crash, itulah kesempatanku untuk konsisten nabung reks\",semenjak pandemi market karuan alias crash kesempatanku konsisten nabung reks ,positif
368,"jual kejutan kejutan francine pascal rp | pesan via bukalapak, klik â†’",jual kejutan kejutan francine pascal rp pesan via bukalapak klik â ,positif
369,"jual kejutan kejutan francine pascal rp | pesan via bukalapak, klik ?",jual kejutan kejutan francine pascal rp pesan via bukalapak klik ,positif
370,min. bsa bantu alamat kantor sicepat d lhokseumawe aceh?,min bsa bantu alamat kantor sicepat d lhokseumawe aceh ,netral
371,mau ganti smartphone dengan kapasitas battery terbesar pertama di indonesia? kuy ikutan xtreme flash sale di samsun\,ganti smartphone kapasitas battery terbesar indonesia kuy ikutan xtreme flash sale samsun ,netral
372,rt mau ganti smartphone dengan kapasitas battery terbesar pertama di indonesia? kuy ikutan xtreme flash sale di samsung officiaâ€¦,rt ganti smartphone kapasitas battery terbesar indonesia kuy ikutan xtreme flash sale samsung officiaâ ,netral
373,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
374,hei bos saya sudah rubah orderan buyer sy dari resi otomatis sicepat ke manual jne dan sudah di acc bl s\,hei bos rubah orderan buyer sy resi otomatis sicepat manual jne acc bl s ,negatif
375,rt dapatkan diskon spesial dari im ooredoo hanya di bukalapak!,rt dapatkan diskon spesial im ooredoo bukalapak ,positif
376,investasi emas dong karena menurutku resikonya lebih rendah dan emas juga makin lama makin mahal selain\,investasi emas menurutku resikonya rendah emas mahal ,positif
377,pas awal\b cuma modal k,pas b modal k,positif
378,yang mau order pomade bisa langsung &gt;&gt;&gt; bukalapak,order pomade langsung gt gt gt bukalapak,positif
379,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
380,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
381,"tenaaang, kamu tetep bisa kok belanja di dan ngerasain nya.",tenaaang tetep belanja ngerasain nya ,positif
382,udah tahun gak belanja di bl. banyak toko yang gak verified. trus promo nya gak sebanyak yang hijau. pâ€¦,udah gak belanja bl toko gak verified trus promo nya gak hijau pâ ,negatif
383,udah tahun gak belanja di bl. banyak toko yang gak verified. trus promo nya gak sebanyak yang hijau. p\,udah gak belanja bl toko gak verified trus promo nya gak hijau p ,negatif
384,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
385,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
386,"buat kamu-kamu peserta kartu prakerja gelombang , jangan lupa ya untuk beli pelatihan pertamanya, karena batas ak\",peserta kartu prakerja gelombang lupa ya beli pelatihan pertamanya batas ak ,positif
387,min kok bukalapak semakin lama semakin lemot yaa aplikasinya nya,min bukalapak lemot yaa aplikasinya nya,negatif
388,"hai kak, maaf atas ketidaknyamanannya. yuk pindah dm serta informasikan kendala serta email dan nomoâ€¦",hai kak maaf ketidaknyamanannya yuk pindah dm informasikan kendala email nomoâ ,negatif
389,"hai kak, maaf atas ketidaknyamanannya. yuk pindah dm serta informasikan kendala serta email dan nomo\",hai kak maaf ketidaknyamanannya yuk pindah dm informasikan kendala email nomo ,negatif
390,"siang kak, maaf buat kendala sertifikatnya nih jadi bikin nunggu lama ?? tapi jika bella cek kendalan\",siang kak maaf kendala sertifikatnya nih bikin nunggu bella cek kendalan ,negatif
391,"hai, kak. jika kakak mengalami kendala terkait mitra bukalapak bisa menghubungi cs mitra bukalapak pada li\",hai kak kakak mengalami kendala terkait mitra bukalapak menghubungi cs mitra bukalapak li ,negatif
392,"waah kalau saya sih milih investasi emas yah, karena emas itu harganya naik terus dan cenderung stabil,\",waah sih milih investasi emas yah emas harganya cenderung stabil ,positif
393,"tolong dibantu penjualan dengan no ,sebab pesanan sudah diterima oleh pembeli, tapi pembeli\",tolong dibantu penjualan no pesanan diterima pembeli pembeli ,negatif
394,"hai kak, mohon maaf sebelumnya. yuk pindah dm, serta infokan kendala kamu secara detail beserta email danâ€¦",hai kak mohon maaf yuk pindah dm infokan kendala detail beserta email danâ ,negatif
395,"hai kak, mohon maaf sebelumnya. yuk pindah dm, serta infokan kendala kamu secara detail beserta email dan\",hai kak mohon maaf yuk pindah dm infokan kendala detail beserta email ,negatif
396,setelah buang waktu berhari ternayata bukalapak tidak melindungi pelangan dan berpihak kepada pelapakâ€¦,buang berhari ternayata bukalapak melindungi pelangan berpihak pelapakâ ,negatif
397,setelah buang waktu berhari ternayata bukalapak tidak melindungi pelangan dan berpihak kepada pelapak\,buang berhari ternayata bukalapak melindungi pelangan berpihak pelapak ,negatif
398,"hai kak, maaf banget buat kamu nggak nyaman ya kak. yuk infoin detail kendala kamu melalui dm agar dap\",hai kak maaf banget nggak nyaman ya kak yuk infoin detail kendala dm dap ,negatif
399,"hi kak, maaf atas ketidaknyamanannya ya kak. bella infokan bahwa proses jual instan tetap mengikuti ta\",hi kak maaf ketidaknyamanannya ya kak bella infokan proses jual instan mengikuti ta ,negatif
400,saldo dan pulsa nya blm masuk ke saya,saldo pulsa nya blm masuk,negatif
401,kalau ternyata kurang gimana ya min? kita harus transfer selisihnya balik?,gimana ya min transfer selisihnya ,netral
402,hallo kak maaf nih saldo dan pulsa kakak belum masuk. pindah dm yuk kak ngobrolnya biar lebih enak dan a\,hallo kak maaf nih saldo pulsa kakak masuk pindah dm yuk kak ngobrolnya biar enak a ,negatif
403,"saya kesulitan dalam pengiriman. karena barang yang saya jual terlalu berat, mohon bantuannya agar sayaâ€¦",kesulitan pengiriman barang jual berat mohon bantuannya sayaâ ,negatif
404,hai kak dengan senang hati bella informasikan untuk mengaktifkan kurir lapak dapat dilakukan dengan l\,hai kak senang hati bella informasikan mengaktifkan kurir lapak l ,negatif
405,yakiiin? ada yang kamu lho nanti jam malem ??,yakiiin lho jam malem ,netral
406,"for sale. like new. pengiriman dari tangsel. transaksi hanya melalui bukalapak. shopee by request. boleh nego, tp j\",for sale like new pengiriman tangsel transaksi bukalapak shopee by request nego tp j ,positif
407,"biar jam malem nya berfaedah, nih kita kasih promo flash deal pigeon breast pump electric go mini",biar jam malem nya berfaedah nih kasih promo flash deal pigeon breast pump electric go mini,positif
408,woi ini gimana tanggung jawabnya udah hari loh saldo emoney rb ga masuk juga. parah banget sih lamaâ€¦,woi gimana tanggung udah loh saldo emoney rb ga masuk parah banget sih lamaâ ,negatif
409,woi ini gimana tanggung jawabnya udah hari loh saldo emoney rb ga masuk juga. parah banget sih lama\,woi gimana tanggung udah loh saldo emoney rb ga masuk parah banget sih ,negatif
410,"halo min, saya tiba tiba dpt sms notifikasi untuk ganti no telf akun bl saya, dapet email juga. ini kenapa ya?",halo min dpt sms notifikasi ganti no telf akun bl dapet email ya ,netral
411,"biarcepet laku untuk spefikasi dm aj harga , free ongkir rekber tokped/bukalapak",biarcepet laku spefikasi dm aj harga free ongkir rekber tokped bukalapak,positif
412,cek disini perlengkapan yang kamu butuhkan ada semua dan harganya terbaik untuk kamu.,cek perlengkapan butuhkan harganya terbaik ,positif
413,cek disini perlengkapan yang kamu butuhkan ada semua dan harganya terbaik untuk kamu.,cek perlengkapan butuhkan harganya terbaik ,positif
414,mau checkout marketplace tapi punyanya dana atau gopay? dm aja yuk aku bantu^^,checkout marketplace punyanya dana gopay dm aja yuk bantu ,netral
415,"rt biar jam malem nya berfaedah, nih kita kasih promo flash deal pigeon breast pump electric go mini",rt biar jam malem nya berfaedah nih kasih promo flash deal pigeon breast pump electric go mini,positif
416,asli sisten jualan di bl bobrok. sudah jelas barang dikirim pake resi manual dan disetujui pihak bl. tapi malah min\,asli sisten jualan bl bobrok barang dikirim pake resi manual disetujui bl min ,negatif
417,"kalau saldo gaditerusin ke buka dompet penjual, buat apa disetujui merubah resi otomatis ke manual. kan rugi penjuaâ€¦",saldo gaditerusin buka dompet penjual disetujui merubah resi otomatis manual rugi penjuaâ ,negatif
418,"kalau saldo gaditerusin ke buka dompet penjual, buat apa disetujui merubah resi otomatis ke manual. kan rugi penjua\",saldo gaditerusin buka dompet penjual disetujui merubah resi otomatis manual rugi penjua ,negatif
419,di bukalapak aja bund,bukalapak aja bund,positif
420,"tolong dong klo memang refund dikembalikan sesuai yg semestinya, refund pulsa di serbu honda beat sesuaiâ€¦",tolong klo refund dikembalikan sesuai yg semestinya refund pulsa serbu honda beat sesuaiâ ,negatif
421,"tolong dong klo memang refund dikembalikan sesuai yg semestinya, refund pulsa di serbu honda beat sesuai\",tolong klo refund dikembalikan sesuai yg semestinya refund pulsa serbu honda beat sesuai ,negatif
422,karna saya mah pilih produk digital,karna mah pilih produk digital,positif
423,barang saya blm nyampe nih kak,barang blm nyampe nih kak,negatif
424,barang saya blm nyampe nih kak,barang blm nyampe nih kak,negatif
425,apakah fitur [jual banyak barang sekaligus] dengan [varian] sudah tidak bisa? karena tidak ada pilihan dâ€¦,fitur jual barang varian pilihan dâ ,negatif
426,apakah fitur [jual banyak barang sekaligus] dengan [varian] sudah tidak bisa? karena tidak ada pilihan d\,fitur jual barang varian pilihan d ,negatif
427,"serat sisal / sisalana agave di bukalapak yuk, belinya di sini:",serat sisal sisalana agave bukalapak yuk belinya ,positif
428,untuk user bukalapak cek favorit :),user bukalapak cek favorit ,netral
429,maaf banget ya bikin ngga nyaman. terkait hal tersebut mohon informasikan nomor telepon dan alamat eâ€¦,maaf banget ya bikin ngga nyaman terkait mohon informasikan nomor telepon alamat eâ ,negatif
430,maaf banget ya bikin ngga nyaman. terkait hal tersebut mohon informasikan nomor telepon dan alamat e\,maaf banget ya bikin ngga nyaman terkait mohon informasikan nomor telepon alamat e ,negatif
431,terimakasih kakak,terimakasih kakak,positif
432,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,positif
433,"nomor transaksi , dengan nomor resi , paket kirim\",nomor transaksi nomor resi paket kirim ,negatif
434,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
435,"hai kak maaf banget nih buat kendalanya, karena keterbatasan karakter yuk pindah dm kak biar ngobrolnya lâ€¦",hai kak maaf banget nih kendalanya keterbatasan karakter yuk pindah dm kak biar ngobrolnya lâ ,negatif
436,"halo min, saya mau register di buka lapak tapi ga keluar otp di nomor hp saya. kenapa ya?",halo min register buka lapak ga otp nomor hp ya ,negatif
437,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
438,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
439,cek disini perlengkapan yang kamu butuhkan ada semua dan harganya terbaik untuk kamu.,cek perlengkapan butuhkan harganya terbaik ,positif
440,cek disini perlengkapan yang kamu butuhkan ada semua dan harganya terbaik untuk kamu.,cek perlengkapan butuhkan harganya terbaik ,positif
441,"kok udah ga ada iklan di tv si min, ga mau ikutan ky yg lain ?",udah ga iklan tv si min ga ikutan ky yg ,netral
442,kubah masjid enamel &amp; stainless harga murah bisa dipesan melalui di,kubah masjid enamel amp stainless harga murah dipesan,positif
443,kubah masjid enamel &amp; stainless harga murah bisa dipesan melalui di,kubah masjid enamel amp stainless harga murah dipesan,positif
444,"halo kak wah bukalapak ada juga dong kak iklan di tv, jangan sampe ketinggalan liat iklannya kak ðÿ˜‰ ^an",halo kak bukalapak kak iklan tv sampe ketinggalan liat iklannya kak ðÿ an,positif
445,"halo kak wah bukalapak ada juga dong kak iklan di tv, jangan sampe ketinggalan liat iklannya kak ?? ^an",halo kak bukalapak kak iklan tv sampe ketinggalan liat iklannya kak an,positif
446,otp bukalapak lagi down? berkali nyoba kirim otp gaada yg masuk.,otp bukalapak down berkali nyoba kirim otp gaada yg masuk ,negatif
447,"reksadana dong! karena mudah transaksi beli &amp; jualnya, harganya terjangkau sesuai budget, pilihan portfoâ€¦",reksadana mudah transaksi beli amp jualnya harganya terjangkau sesuai budget pilihan portfoâ ,positif
448,"reksadana dong! karena mudah transaksi beli &amp; jualnya, harganya terjangkau sesuai budget, pilihan portfo\",reksadana mudah transaksi beli amp jualnya harganya terjangkau sesuai budget pilihan portfo ,positif
449,"hai kak maaf atas kendala yang kamu alami ya kak. bella akan bantu cek dulu ya, yuk infoin alamatâ€¦",hai kak maaf kendala alami ya kak bella bantu cek ya yuk infoin alamatâ ,negatif
450,"hai kak maaf atas kendala yang kamu alami ya kak. bella akan bantu cek dulu ya, yuk infoin alamat\",hai kak maaf kendala alami ya kak bella bantu cek ya yuk infoin alamat ,negatif
451,kak bukalapak eror ya.. otp sms gak masukâ² dari tadi pagi,kak bukalapak eror ya otp sms gak masukâ² pagi,negatif
452,"hai kak, maaf banget ya atas kendalanya, terkait kendala kamu, yuk infoin ke bella alamat email dan nâ€¦",hai kak maaf banget ya kendalanya terkait kendala yuk infoin bella alamat email nâ ,negatif
453,"hai kak, maaf banget ya atas kendalanya, terkait kendala kamu, yuk infoin ke bella alamat email dan n\",hai kak maaf banget ya kendalanya terkait kendala yuk infoin bella alamat email n ,negatif
454,mega app ma mitra bukalapak tu logonya agak mirip kalo ada notif suka binun,mega app ma mitra bukalapak tu logonya kalo notif suka binun,negatif
455,mega app ma mitra bukalapak tu logonya agak mirip kalo ada notif suka binun,mega app ma mitra bukalapak tu logonya kalo notif suka binun,negatif
456,"belum lama ini microsoft diketahui berinvestasi ke bukalapak loh be-emers. kemudian, google dan temasek juga memberâ€¦",microsoft berinvestasi bukalapak loh be emers google temasek memberâ ,positif
457,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir kâ ,positif
458,rt selamat bagi pemenang asia pacific dari indonesia kategori marketplace responsif gender:,rt selamat pemenang asia pacific indonesia kategori marketplace responsif gender ,positif
459,"rt beberapa marketplace antara lain tokopedia, bukalapak hingga lazada akan memungut ppn persen dari konsumen. aturan ini akaâ€¦",rt marketplace tokopedia bukalapak lazada memungut ppn persen konsumen aturan akaâ ,negatif
460,mantap,mantap,positif
461,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
462,"hai kak, dengan senang hati bella informasikan kalau di bukalapak memiliki fitur bayarnanti, dimana mâ€¦",hai kak senang hati bella informasikan bukalapak memiliki fitur bayarnanti dimana mâ ,negatif
463,"syaratnya punya aplikasi bukalapak dan pesennya via bukafood nanti makanannya dianterin pake grabexpress, pake voucâ€¦",syaratnya aplikasi bukalapak pesennya via bukafood makanannya dianterin pake grabexpress pake voucâ ,positif
464,"rt syaratnya punya aplikasi bukalapak dan pesennya via bukafood nanti makanannya dianterin pake grabexpress, pake voucher code grâ€¦",rt syaratnya aplikasi bukalapak pesennya via bukafood makanannya dianterin pake grabexpress pake voucher code grâ ,positif
465,buka di bukalapak edisi malam jumatan di jamin ori,buka bukalapak edisi malam jumatan jamin ori,positif
466,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
467,ni ku bilang ya. email kalian ini gak ada solusii.. memperlamaa. dan akun saya kalian bekukan buka dompeâ€¦,ni ku bilang ya email gak solusii memperlamaa akun bekukan buka dompeâ ,negatif
468,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
469,"_hendrian_shn, adminnya cakep kayak bule 😨😁,,,,,,,,,,,,,,,,,,",_hendrian_shn adminnya cakep kayak bule ,positif
470,"pajakcengkareng,""rt lagi! djp tunjuk perusahaan pemungut ppn pmse! tokopedia, bukalapak, blibli, dan lazada juga ikut ditunjuk, lho! coba…"",,,,,,,,,,,,,,,,,,",pajakcengkareng rt djp perusahaan pemungut ppn pmse tokopedia bukalapak blibli lazada lho coba ,negatif
471,"kfc dah min.. mau kasih voucher ga nih?,,,,,,,,,,,,,,,,,,",kfc dah min kasih voucher ga nih ,netral
472,"bagi sahabat yang suka belanja online, sudah tau di bukalapak setiap hari ada promo-promo menarik denganâ€¦",sahabat suka belanja online tau bukalapak promo promo menarik denganâ ,positif
473,ayok kak dicoba lagi. jangan patah semangat yaa. bella doain deh semoga kakak dapet voucher meâ€¦,ayok kak dicoba patah semangat yaa bella doain deh semoga kakak dapet voucher meâ ,positif
474,kakak tidak perlu ragu karena bukalapak tidak pernah tipu-tipu kok. bella doain di kesempataâ€¦,kakak ragu bukalapak tipu tipu bella doain kesempataâ ,positif
475,semangat atuh kak. vouchernya bisa kakak gunain buat cekout barang kesayangan kakak loh. jadi lebih murah deh. ðÿ˜‰,semangat atuh kak vouchernya kakak gunain cekout barang kesayangan kakak loh murah deh ðÿ ,positif
476,kecewa dgan tim penyelesaian masalah dari bukalapak. duit saya di blokir. dan saya tidak bsa berjualan lagi. licikâ€¦,kecewa dgan tim penyelesaian bukalapak duit blokir bsa berjualan licikâ ,negatif
477,"min, saya dapet pesan ada promoted push cashback %. saya coba beli, tapi ga ada cashbacknya",min dapet pesan promoted push cashback coba beli ga cashbacknya,negatif
478,"rt bagi sahabat yang suka belanja online, sudah tau di bukalapak setiap hari ada promo-promo menarik dengan lhâ€¦",rt sahabat suka belanja online tau bukalapak promo promo menarik lhâ ,positif
479,"rt bagi sahabat yang suka belanja online, sudah tau di bukalapak setiap hari ada promo-promo menarik dengan lhâ€¦",rt sahabat suka belanja online tau bukalapak promo promo menarik lhâ ,positif
480,yuk cus ke bukalapak. mimin kasih link promo biar kamu pilih sendiri promo yang ingin kamu gunain ya.,yuk cus bukalapak mimin kasih link promo biar pilih promo gunain ya ,positif
481,"huumb kak, yuk langsung cus ke bukalapak. untuk voucher promo yang tersedia bisa cek di",huumb kak yuk langsung cus bukalapak voucher promo tersedia cek,positif
482,jangan ragu lagi buat ceki-ceki barang impian kamu di dan temukan promo menariknya. ðÿ˜‰,ragu ceki ceki barang impian temukan promo menariknya ðÿ ,positif
483,tolong admin bukalapak uang saya yang di bekukan di buka dompet dengan nomer transaksi segâ€¦,tolong admin bukalapak uang bekukan buka dompet nomer transaksi segâ ,negatif
484,kajian mitra bukalapak qanaah. bersyukur atas rezeki di tengah pandemi via,kajian mitra bukalapak qanaah bersyukur rezeki pandemi via,positif
485,"rt mulai desember, belanja di bukalapak cs kena ppn persen",rt desember belanja bukalapak cs kena ppn persen,negatif
486,"sejak td mlm, server down",td mlm server down,negatif
487,rt kenapa ya min sy ga bisa login ke akun sy? padahal bisa buka aplikasi lain.,rt ya min sy ga login akun sy buka aplikasi ,negatif
488,kk mau tanya status transaksi ini klo gg d proses tolong batalim aja sya butuh brmgnya cepat pakai gojek,kk status transaksi klo gg d proses tolong batalim aja sya butuh brmgnya cepat pakai gojek,negatif
489,yasalaaaaammm ku geraaamm mbaakk.\nhaloooo tolonglah direspons,yasalaaaaammm ku geraaamm mbaakk nhaloooo tolonglah direspons,negatif
490,. area booth bukalapak hall b.\n. diskon hingga % untuk pembelian oli eneos melalui aplikasi bukalapak…, area booth bukalapak hall b n diskon pembelian oli eneos aplikasi bukalapak ,positif
491,no. transaksi koq sy sudah input resi dr kemarin tp ga update di history bukalapak ya,no transaksi koq sy input resi dr kemarin tp ga update history bukalapak ya,negatif
492,. di area booth bukalapak di hall b\n. diskon hingga %\n, area booth bukalapak hall b n diskon n,positif
493,min plz help ini sy belum terima email e-tiketnya jg...sementara sy sdh ada d lokasi iims..…,min plz help sy terima email e tiketnya jg sy sdh d lokasi iims ,negatif
494,. area booth bukalapak hall b.\n. diskon hingga % untuk pembelian oli eneos melalui aplikasi bukalapak…, area booth bukalapak hall b n diskon pembelian oli eneos aplikasi bukalapak ,positif
495,. area booth bukalapak hall b.\n. diskon hingga % untuk pembelian oli eneos melalui aplikasi bukalapak…, area booth bukalapak hall b n diskon pembelian oli eneos aplikasi bukalapak ,positif
496,. area booth bukalapak hall b.\n. diskon hingga % untuk pembelian oli eneos melalui aplikasi bukalapak…, area booth bukalapak hall b n diskon pembelian oli eneos aplikasi bukalapak ,positif
497,. di area booth bukalapak di hall b\n. diskon hingga %\n, area booth bukalapak hall b n diskon n,positif
498,. area booth bukalapak hall b.\n. diskon hingga % untuk pembelian oli eneos melalui aplikasi bukalapak…, area booth bukalapak hall b n diskon pembelian oli eneos aplikasi bukalapak ,positif
499,. di area booth bukalapak di hall b\n. diskon hingga %\n, area booth bukalapak hall b n diskon n,positif
500,hi..bukalapak..nmr pembelian\nbl zncbainf terjadi kesalan pengiriman..gimana doong.tujuan lamongan…,hi bukalapak nmr pembelian nbl zncbainf kesalan pengiriman gimana doong tujuan lamongan ,negatif
501,cara berjualan online di bukalapak versi mobile android dan desktop.,berjualan online bukalapak versi mobile android desktop ,positif
502,transaksi . pembeli sudah kasih ulasan. tolong remit,transaksi pembeli kasih ulasan tolong remit,negatif
503,hai mba sdh terima belum sy jg sama nih belum terima etiketnya,hai mba sdh terima sy jg nih terima etiketnya,negatif
504,"yang terhormat cs bukalapak.pembelian pulsa dengan nomor tagihan bladzaxvinv sudah terbayar,namun…",terhormat cs bukalapak pembelian pulsa nomor tagihan bladzaxvinv terbayar ,negatif
505,saya mengajakmu bergabung ke bukalapak dan memberikan credits rp.. gunakan kode mnurwakhidalimxdf.,mengajakmu bergabung bukalapak credits rp kode mnurwakhidalimxdf ,positif
506,\nsiang admin...\nmohon di bantu input resi manual untuk no. transaksi:\n dgn resi…, nsiang admin nmohon bantu input resi manual no transaksi n dgn resi ,negatif
507,min kenapa kok id saya gk bisa send massage,min id gk send massage,negatif
508,min kenapa id saya gk kirim pesan?? id saya ade roy renaldo,min id gk kirim pesan id ade roy renaldo,negatif
509,transaksi mohon diaktifkan kembali karena sistem tracking dr bukalapak seperti nya lg err…,transaksi mohon diaktifkan sistem tracking dr bukalapak nya lg err ,negatif
510,"lagi ramadan biasanya banyak promo nih, bayarnya p...",ramadan promo nih bayarnya p ,positif
511,semangat guyys! di masa pandemi ini kita harus tet...,semangat guyys pandemi tet ,positif
512,mana nih ciwi-ciwi yang udah gajian?\n\nkita mau k..,nih ciwi ciwi udah gajian n nkita k ,netral
513,"hayoloohh, dikejar emak-emak tuh kalau masih bande...",hayoloohh dikejar emak emak tuh bande ,netral
514,"ikutan rejeki asik bukalapak, bisa dapat kesempata...",ikutan rejeki asik bukalapak kesempata ,positif
515,"hari senin, teka teki miliaran akan hadir kembali ...",senin teka teki miliaran hadir ,positif
516,"baik kak, mohon maaf atas kendalanya ya. bella inf…",kak mohon maaf kendalanya ya bella inf ,negatif
517,"maaf banget nih kak, boleh informasikan email dan … daviq_romelos",maaf banget nih kak informasikan email daviq_romelos,negatif
518,"hai kak daviq, maaf banget nih jadi bikin kamu",hai kak daviq maaf banget nih bikin,negatif
519,mau ngumpulin kamu-kamu yang hobi main black desse…,ngumpulin hobi main black desse ,positif
520,mana yang udah punya kartu yuk dimanfaa...,udah kartu yuk dimanfaa ,positif
521,wahh maaf nih kak membuatmu nggak nyaman. namun un...fachriiiiir,wahh maaf nih kak membuatmu nggak nyaman un fachriiiiir,negatif
522,"jam aja! udah tau dong ini jam untuk apa? yak, r...http://bl.app.link/malemmalemobral",jam aja udah tau jam yak r http bl app link malemmalemobral,netral
523,"jam aja! udah tau dong ini jam untuk apa? yak, r...",jam aja udah tau jam yak r ,netral
524,makin asik belanja di malem-malem obral karena dit...,asik belanja malem malem obral dit ,positif
525,sebentar lagi! dapetin barang-barang spesial denga...,sebentar dapetin barang barang spesial denga ,positif
526,habis buka puasa mari kita menjemput rejeki. gak a...,habis buka puasa mari menjemput rejeki gak a ,positif
527,rejeki ekstra sekarang ekstra juga jam tayangnya! ...,rejeki ekstra ekstra jam tayangnya ,positif
528,"udah jam sore, sambil nunggu magrib, yuk kita no...",udah jam sore nunggu magrib yuk no ,netral
529,"baik kak, mohon maaf ya membuatmu nggak nyaman. un...",kak mohon maaf ya membuatmu nggak nyaman un ,negatif
